trial_id,launch_angle,initial_velocity,flight_time,range_x,max_height
1,15,12.1,0.63,7.53,0.55
2,15,11.95,0.62,7.44,0.51
3,15,11.91,0.64,7.18,0.47
4,15,12.05,0.59,7.23,0.48
5,15,11.8,0.63,7.0,0.43
6,15,12.29,0.64,7.71,0.47
7,15,11.89,0.63,7.09,0.5
8,15,11.88,0.62,7.13,0.55
9,15,12.0,0.61,7.42,0.45
10,15,12.04,0.59,7.26,0.5
11,15,12.15,0.65,7.51,0.49
12,15,11.7,0.6,6.94,0.5
13,20,12.07,0.8,9.58,0.85
14,20,11.86,0.84,9.33,0.87
15,20,11.83,0.82,9.21,0.87
16,20,11.9,0.83,9.17,0.8
17,20,12.16,0.88,9.69,0.92
18,20,12.07,0.83,9.59,0.92
19,20,11.99,0.88,9.16,0.89
20,20,12.02,0.83,9.47,0.79
21,20,11.96,0.84,9.51,0.83
22,20,11.84,0.81,9.27,0.85
23,20,11.89,0.84,9.28,0.88
24,20,11.86,0.82,9.18,0.79
25,25,12.06,1.05,11.36,1.32
26,25,11.72,1.0,10.69,1.22
27,25,11.97,1.04,11.37,1.31
28,25,12.05,1.04,11.15,1.32
29,25,12.01,1.1,11.25,1.32
30,25,11.99,1.0,11.35,1.34
31,25,12.16,1.02,11.68,1.3
32,25,12.12,1.1,11.37,1.32
33,25,12.02,1.02,11.13,1.32
34,25,11.79,1.03,10.76,1.32
35,25,11.84,1.01,11.03,1.23
36,25,12.05,1.07,11.17,1.33
37,30,12.05,1.25,12.7,1.8
38,30,12.1,1.24,12.96,1.88
39,30,11.86,1.22,12.46,1.77
40,30,12.37,1.27,13.4,1.97
41,30,11.81,1.22,12.42,1.75
42,30,12.19,1.25,13.21,1.96
43,30,11.95,1.2,12.52,1.79
44,30,11.98,1.23,12.71,1.86
45,30,12.0,1.26,12.69,1.93
46,30,12.13,1.21,12.87,1.89
47,30,11.96,1.24,12.67,1.82
48,30,11.83,1.17,12.31,1.81
49,35,12.04,1.38,13.91,2.45
50,35,11.82,1.39,13.4,2.3
51,35,12.07,1.43,14.07,2.48
52,35,11.72,1.35,13.22,2.32
53,35,12.1,1.51,14.09,2.5
54,35,12.19,1.44,14.2,2.52
55,35,11.85,1.38,13.39,2.36
56,35,12.46,1.41,14.95,2.55
57,35,11.91,1.42,13.58,2.34
58,35,11.86,1.4,13.39,2.36
59,35,12.01,1.39,14.03,2.44
60,35,11.59,1.36,12.81,2.28
61,40,11.84,1.55,14.13,2.98
62,40,11.76,1.53,13.84,2.89
63,40,12.35,1.63,15.19,3.25
64,40,12.42,1.65,15.34,3.23
65,40,12.25,1.59,15.12,3.19
66,40,11.81,1.55,13.69,2.9
67,40,11.95,1.53,14.5,2.96
68,40,11.91,1.56,14.39,2.94
69,40,12.23,1.6,14.92,3.17
70,40,12.04,1.56,14.56,3.04
71,40,12.02,1.59,14.67,3.0
72,40,12.43,1.58,15.49,3.27
73,45,12.06,1.72,14.8,3.69
74,45,11.88,1.73,14.43,3.57
75,45,12.18,1.76,15.2,3.8
76,45,11.83,1.69,14.35,3.59
77,45,12.0,1.73,14.8,3.65
78,45,12.11,1.74,14.93,3.78
79,45,12.17,1.77,15.22,3.77
80,45,12.14,1.74,15.05,3.75
81,45,12.02,1.75,14.64,3.75
82,45,11.8,1.67,14.31,3.58
83,45,12.12,1.76,14.98,3.72
84,45,12.02,1.72,14.81,3.67
85,50,11.83,1.84,14.1,4.17
86,50,11.84,1.85,14.09,4.17
87,50,11.91,1.87,14.09,4.19
88,50,11.86,1.85,14.14,4.26
89,50,12.17,1.9,14.87,4.4
90,50,12.0,1.87,14.48,4.28
91,50,12.1,1.93,14.7,4.4
92,50,12.14,1.89,14.81,4.41
93,50,12.02,1.86,14.51,4.34
94,50,12.29,1.94,15.38,4.49
95,50,12.17,1.91,15.1,4.4
96,50,11.83,1.83,13.84,4.17
97,55,11.85,1.98,13.48,4.87
98,55,12.19,2.02,14.14,5.1
99,55,11.74,2.01,13.31,4.69
100,55,11.66,1.98,13.01,4.69
101,55,11.68,1.94,13.07,4.67
102,55,11.91,2.0,13.48,4.85
103,55,12.02,2.02,13.92,4.91
104,55,11.69,1.98,13.13,4.65
105,55,12.31,2.06,14.63,5.19
106,55,12.41,2.12,14.73,5.3
107,55,12.13,2.06,14.0,5.06
108,55,12.21,2.0,14.17,5.03
109,60,11.95,2.13,12.75,5.46
110,60,12.33,2.14,13.24,5.81
111,60,12.08,2.13,12.67,5.57
112,60,11.74,2.09,12.2,5.23
113,60,11.9,2.07,12.49,5.44
114,60,11.8,2.1,12.25,5.3
115,60,11.98,2.09,12.61,5.44
116,60,12.39,2.19,13.49,5.88
117,60,11.98,2.11,12.73,5.51
118,60,11.89,2.09,12.46,5.33
119,60,11.7,2.1,12.24,5.22
120,60,12.12,2.15,13.27,5.65
121,65,11.97,2.19,11.04,6.01
122,65,11.85,2.15,10.9,5.84
123,65,12.34,2.3,11.89,6.42
124,65,12.02,2.2,11.43,6.06
125,65,11.79,2.17,10.77,5.77
126,65,12.19,2.3,11.45,6.24
127,65,11.87,2.18,10.94,5.87
128,65,12.01,2.2,11.29,6.04
129,65,11.95,2.19,11.1,6.01
130,65,12.1,2.21,11.44,6.16
131,65,11.67,2.17,10.56,5.72
132,65,11.85,2.14,10.8,5.88
133,70,12.05,2.29,9.58,6.48
134,70,11.99,2.27,9.35,6.47
135,70,11.83,2.26,9.27,6.28
136,70,12.17,2.3,9.75,6.71
137,70,11.51,2.18,8.73,5.95
138,70,12.07,2.3,9.56,6.56
139,70,12.23,2.35,9.84,6.72
140,70,11.9,2.27,9.32,6.36
141,70,12.06,2.36,9.61,6.53
142,70,12.24,2.33,9.61,6.71
143,70,11.63,2.22,8.86,6.14
144,70,12.07,2.31,9.62,6.47
145,75,12.05,2.39,7.25,6.94
146,75,12.07,2.37,7.49,7.0
147,75,12.04,2.38,7.34,6.86
148,75,12.17,2.37,7.55,7.02
149,75,12.1,2.39,7.56,6.94
150,75,11.95,2.33,7.23,6.8
151,75,12.15,2.37,7.61,7.07
152,75,12.08,2.43,7.36,6.9
153,75,11.64,2.33,6.98,6.45
154,75,12.06,2.35,7.65,6.92
155,75,12.02,2.39,7.41,6.88
156,75,11.84,2.34,7.34,6.72
